time,lynx
1821-01-01,269
1822-01-01,321
1823-01-01,585
1824-01-01,871
1825-01-01,1475
1826-01-01,2821
1827-01-01,3928
1828-01-01,5943
1829-01-01,4950
1830-01-01,2577
1831-01-01,523
1832-01-01,98
1833-01-01,184
1834-01-01,279
1835-01-01,409
1836-01-01,2285
1837-01-01,2685
1838-01-01,3409
1839-01-01,1824
1840-01-01,409
1841-01-01,151
1842-01-01,45
1843-01-01,68
1844-01-01,213
1845-01-01,546
1846-01-01,1033
1847-01-01,2129
1848-01-01,2536
1849-01-01,957
1850-01-01,361
1851-01-01,377
1852-01-01,225
1853-01-01,360
1854-01-01,731
1855-01-01,1638
1856-01-01,2725
1857-01-01,2871
1858-01-01,2119
1859-01-01,684
1860-01-01,299
1861-01-01,236
1862-01-01,245
1863-01-01,552
1864-01-01,1623
1865-01-01,3311
1866-01-01,6721
1867-01-01,4254
1868-01-01,687
1869-01-01,255
1870-01-01,473
1871-01-01,358
1872-01-01,784
1873-01-01,1594
1874-01-01,1676
1875-01-01,2251
1876-01-01,1426
1877-01-01,756
1878-01-01,299
1879-01-01,201
1880-01-01,229
1881-01-01,469
1882-01-01,736
1883-01-01,2042
1884-01-01,2811
1885-01-01,4431
1886-01-01,2511
1887-01-01,389
1888-01-01,73
1889-01-01,39
1890-01-01,49
1891-01-01,59
1892-01-01,188
1893-01-01,377
1894-01-01,1292
1895-01-01,4031
1896-01-01,3495
1897-01-01,587
1898-01-01,105
1899-01-01,153
1900-01-01,387
1901-01-01,758
1902-01-01,1307
1903-01-01,3465
1904-01-01,6991
1905-01-01,6313
1906-01-01,3794
1907-01-01,1836
1908-01-01,345
1909-01-01,382
1910-01-01,808
1911-01-01,1388
1912-01-01,2713
1913-01-01,3800
1914-01-01,3091
1915-01-01,2985
1916-01-01,3790
1917-01-01,674
1918-01-01,81
1919-01-01,80
1920-01-01,108
1921-01-01,229
1922-01-01,399
1923-01-01,1132
1924-01-01,2432
1925-01-01,3574
1926-01-01,2935
1927-01-01,1537
1928-01-01,529
1929-01-01,485
1930-01-01,662
1931-01-01,1000
1932-01-01,1590
1933-01-01,2657
1934-01-01,3396
